,time.drive,time.bicycle,time.walk,time.transit,weighted.gini,MEM
0,10,10,10,10,0.38717910167487,0.61282089832513
1,10,10,10,20,0.4080274728520778,0.5919725271479221
2,10,10,10,30,0.45609275715290565,0.5439072428470944
3,10,10,10,40,0.47984188005780287,0.5201581199421972
4,10,10,10,50,0.4906983535018743,0.5093016464981257
5,10,10,10,60,0.49437277932356594,0.5056272206764341
6,10,10,20,10,0.39281512489861786,0.6071848751013822
7,10,10,20,20,0.4101184589325929,0.5898815410674071
8,10,10,20,30,0.4499438274544631,0.5500561725455368
9,10,10,20,40,0.470832344883579,0.529167655116421
10,10,10,20,50,0.4820454406210429,0.5179545593789572
11,10,10,20,60,0.4871336741695345,0.5128663258304655
12,10,10,30,10,0.38925296717217345,0.6107470328278266
13,10,10,30,20,0.40363192783513324,0.5963680721648668
14,10,10,30,30,0.4379194168212333,0.5620805831787667
15,10,10,30,40,0.4577987412632233,0.5422012587367767
16,10,10,30,50,0.4701039305265292,0.5298960694734708
17,10,10,30,60,0.47715689975061254,0.5228431002493874
18,10,10,40,10,0.3820829257612572,0.6179170742387428
19,10,10,40,20,0.39354251609290897,0.6064574839070911
20,10,10,40,30,0.4238216496513662,0.5761783503486337
21,10,10,40,40,0.443461644784336,0.556538355215664
22,10,10,40,50,0.4562839210949868,0.5437160789050133
23,10,10,40,60,0.4648284104501213,0.5351715895498788
24,10,10,50,10,0.38381682158313774,0.6161831784168623
25,10,10,50,20,0.3924555597604245,0.6075444402395755
26,10,10,50,30,0.41790119573618,0.58209880426382
27,10,10,50,40,0.4361573384341081,0.5638426615658919
28,10,10,50,50,0.4480116554901132,0.5519883445098868
29,10,10,50,60,0.4565320410052818,0.5434679589947182
30,10,10,60,10,0.38066100878104386,0.6193389912189562
31,10,10,60,20,0.38732722835118233,0.6126727716488176
32,10,10,60,30,0.4093453653646368,0.5906546346353632
33,10,10,60,40,0.42652875780769467,0.5734712421923054
34,10,10,60,50,0.4380569267539626,0.5619430732460373
35,10,10,60,60,0.4466618572867116,0.5533381427132884
36,10,20,10,10,0.3599742328213022,0.6400257671786977
37,10,20,10,20,0.36630071784820256,0.6336992821517975
38,10,20,10,30,0.3915579471252435,0.6084420528747565
39,10,20,10,40,0.4125405194056112,0.5874594805943888
40,10,20,10,50,0.4272593730994048,0.5727406269005952
41,10,20,10,60,0.43759018592322724,0.5624098140767728
42,10,20,20,10,0.3590716972389634,0.6409283027610366
43,10,20,20,20,0.3654471226722187,0.6345528773277813
44,10,20,20,30,0.3894065270733613,0.6105934729266387
45,10,20,20,40,0.40951457311552214,0.5904854268844779
46,10,20,20,50,0.423618695609341,0.5763813043906589
47,10,20,20,60,0.4339042516927448,0.5660957483072552
48,10,20,30,10,0.35764001755325203,0.642359982446748
49,10,20,30,20,0.3637186094035358,0.6362813905964642
50,10,20,30,30,0.38617579477858943,0.6138242052214106
51,10,20,30,40,0.4050864073202814,0.5949135926797187
52,10,20,30,50,0.41865521532239414,0.5813447846776059
53,10,20,30,60,0.42907714912703643,0.5709228508729636
54,10,20,40,10,0.3581888329657333,0.6418111670342668
55,10,20,40,20,0.3635378716703365,0.6364621283296634
56,10,20,40,30,0.38361840973518074,0.6163815902648193
57,10,20,40,40,0.4010232755516849,0.5989767244483151
58,10,20,40,50,0.41393154540153615,0.5860684545984638
59,10,20,40,60,0.4240780752714182,0.5759219247285818
60,10,20,50,10,0.3643770656961622,0.6356229343038378
61,10,20,50,20,0.3689481780353014,0.6310518219646986
62,10,20,50,30,0.3864385692580801,0.6135614307419199
