,Community,Mode,Time Range,Cost,MI,Cafe,Fitness,Market,Parks,Pharmacy,Restaurant,Schools,Stadium,Theater,Worship,Hospitals
46,"Brightwood Park, Crestwood, Petworth",transit,50,2.0,209.33747136034486,0.045724292246327465,0.017511431073061582,0.04231929175989882,0.08172001167428738,0.04903200700457242,0.4856503550929079,0.21101274443039206,0.0020430002918571844,0.008269286895612413,0.05117229302461329,0.005545286506469501
47,"Brightwood Park, Crestwood, Petworth",transit,60,2.0,295.565203020983,0.037965961551712266,0.016123475504719906,0.04382277957693103,0.08530283194377455,0.05064424998277407,0.4539378488251912,0.2389581754289258,0.002825053400399642,0.007648315303520983,0.05305588093433475,0.009715427547715842
48,"Brookland, Brentwood, Langdon",drive,10,2.09375,9.06528585276795,0.012027491408934709,0.010309278350515464,0.05154639175257732,0.08934707903780068,0.05154639175257732,0.30927835051546393,0.36597938144329895,,0.003436426116838488,0.10652920962199312,
49,"Brookland, Brentwood, Langdon",drive,20,4.1875,17.51605050113993,0.025804396304555593,0.015291494106403312,0.056387384517362214,0.08728894552405224,0.03345014335775725,0.381650207072316,0.29722841669321437,0.00031857279388340236,0.006371455877668047,0.08474036317298503,0.011468620579802484
50,"Brookland, Brentwood, Langdon",drive,30,6.28125,18.203666625183246,0.03404348781023501,0.01581374917636723,0.05304195036239842,0.08829343290138371,0.042828904019327915,0.4197232593894135,0.25730287722380846,0.002635624862727872,0.007797056885569953,0.06896551724137931,0.009554140127388535
51,"Brookland, Brentwood, Langdon",drive,40,8.375,18.019613833274125,0.032192679146297844,0.015500178848217477,0.0499582687492548,0.0865625372600453,0.05126982234410396,0.409284209689599,0.2846071300822701,0.0021461786097531892,0.00647827987758833,0.049839036604268507,0.012161678788601407
52,"Brookland, Brentwood, Langdon",drive,50,10.468750000000002,7.828685479004814,0.03172418313505719,0.018811654049093827,0.05722151214236555,0.07478779536590961,0.062137449611640944,0.3937993642054206,0.2919083669255727,0.0022613312358666796,0.006652902041752695,0.0435879788942418,0.01710746239307836
53,"Brookland, Brentwood, Langdon",drive,60,12.5625,2.832386155739922,0.03173779003731949,0.02012007139380172,0.058023689761479806,0.07470387798150252,0.06298880415382119,0.3899399643030992,0.2890475417815999,0.0033100762615609286,0.006847314619503489,0.044588674346908976,0.018692195359402888
54,"Brookland, Brentwood, Langdon",bicycle,10,0.2602739726027397,49.86519303148337,0.015349194167306218,0.007674597083653109,0.046047582501918656,0.10283960092095167,0.034535686876438994,0.29623944742901,0.37528779739063706,0.0007674597083653109,0.006139677666922487,0.11051419800460477,0.004604758250191865
55,"Brookland, Brentwood, Langdon",bicycle,20,0.2602739726027397,266.9682168746186,0.033830275229357804,0.016341743119266058,0.05289564220183488,0.08285550458715599,0.04300458715596331,0.4217316513761469,0.2614678899082569,0.0012901376146788994,0.007454128440366974,0.0688073394495413,0.010321100917431195
56,"Brookland, Brentwood, Langdon",bicycle,30,0.2602739726027397,572.1676907242578,0.03879339174637148,0.014580964483981005,0.04595010367199519,0.0971172496822955,0.04574944819744499,0.43609123135576217,0.24259246873118856,0.0018727844291351753,0.0068891712928901075,0.061935656477827575,0.008427529931108287
57,"Brookland, Brentwood, Langdon",bicycle,40,0.2602739726027397,741.8165017055056,0.034667767230705734,0.014032191498142797,0.04766817994222039,0.09905076351630211,0.04643004539826661,0.41456871646718946,0.26588939331407346,0.0025278580272389602,0.006758151052414362,0.06004952538175815,0.00835740817168799
58,"Brookland, Brentwood, Langdon",bicycle,50,0.5102739726027397,767.287583392586,0.03340098835157077,0.014384045181786091,0.049241087186727844,0.09442287327920931,0.048182139075185315,0.4078715142957995,0.28035651253088595,0.0023385104129897633,0.006662548535121778,0.054006353688669254,0.00913342746205436
59,"Brookland, Brentwood, Langdon",bicycle,60,1.0102739726027397,676.2236711569057,0.031971163264506525,0.014888531912392743,0.05101281197351409,0.0857265995376719,0.05207068134623673,0.4087293813423187,0.2859773537593543,0.0020765583983074092,0.006503937624887357,0.0490537946166203,0.011989186224189947
