,time.drive,time.bicycle,time.walk,time.transit,weighted.gini,MEM
0,10,10,10,10,0.465315234946522,0.5346847650534781
1,10,10,10,20,0.5315280477314205,0.4684719522685795
2,10,10,10,30,0.5526212187209527,0.4473787812790473
3,10,10,10,40,0.5071688701818916,0.4928311298181084
4,10,10,10,50,0.4585749235695188,0.5414250764304812
5,10,10,10,60,0.42416517566378414,0.5758348243362159
6,10,10,20,10,0.4471293674173313,0.5528706325826687
7,10,10,20,20,0.5098458302710989,0.49015416972890113
8,10,10,20,30,0.5371734205981502,0.4628265794018498
9,10,10,20,40,0.49900241113638727,0.5009975888636127
10,10,10,20,50,0.45357013425844284,0.5464298657415572
11,10,10,20,60,0.42051407055957885,0.5794859294404211
12,10,10,30,10,0.4342681463409796,0.5657318536590203
13,10,10,30,20,0.4907546361393727,0.5092453638606274
14,10,10,30,30,0.5216032938324435,0.4783967061675565
15,10,10,30,40,0.4902186115604095,0.5097813884395905
16,10,10,30,50,0.44844472183969597,0.551555278160304
17,10,10,30,60,0.4169357288184724,0.5830642711815276
18,10,10,40,10,0.4191504069431332,0.5808495930568668
19,10,10,40,20,0.4698184062144706,0.5301815937855294
20,10,10,40,30,0.5040678645450027,0.49593213545499726
21,10,10,40,40,0.4798280754723494,0.5201719245276506
22,10,10,40,50,0.4419463814599546,0.5580536185400454
23,10,10,40,60,0.4125861023225719,0.5874138976774281
24,10,10,50,10,0.39624326734919824,0.6037567326508018
25,10,10,50,20,0.44297148396415353,0.5570285160358465
26,10,10,50,30,0.4815278587957155,0.5184721412042845
27,10,10,50,40,0.46556305089337696,0.534436949106623
28,10,10,50,50,0.4322961810088949,0.5677038189911051
29,10,10,50,60,0.4054323840766785,0.5945676159233215
30,10,10,60,10,0.3794121929778223,0.6205878070221778
31,10,10,60,20,0.4207599045124005,0.5792400954875996
32,10,10,60,30,0.4607230455265927,0.5392769544734073
33,10,10,60,40,0.4512700123276251,0.5487299876723749
34,10,10,60,50,0.4223620319174733,0.5776379680825268
35,10,10,60,60,0.39797546604701817,0.6020245339529818
36,10,20,10,10,0.40496551165646155,0.5950344883435384
37,10,20,10,20,0.44481935083465884,0.5551806491653412
38,10,20,10,30,0.48270012662000844,0.5172998733799916
39,10,20,10,40,0.4686456849321774,0.5313543150678226
40,10,20,10,50,0.4370042717013102,0.5629957282986898
41,10,20,10,60,0.41098383124898796,0.589016168751012
42,10,20,20,10,0.40020626598034537,0.5997937340196546
43,10,20,20,20,0.43824766656320074,0.5617523334367993
44,10,20,20,30,0.4757611154977037,0.5242388845022963
45,10,20,20,40,0.4639279132554423,0.5360720867445576
46,10,20,20,50,0.43374183376936004,0.56625816623064
47,10,20,20,60,0.40852639489560433,0.5914736051043956
48,10,20,30,10,0.3972319741271142,0.6027680258728858
49,10,20,30,20,0.43278630818801905,0.567213691811981
50,10,20,30,30,0.46901078531091284,0.5309892146890871
51,10,20,30,40,0.45905785262695237,0.5409421473730476
52,10,20,30,50,0.4305715967745959,0.5694284032254041
53,10,20,30,60,0.4062541379086429,0.5937458620913572
54,10,20,40,10,0.39326858087137373,0.6067314191286263
55,10,20,40,20,0.42609794384916255,0.5739020561508374
56,10,20,40,30,0.46107084743028354,0.5389291525697164
57,10,20,40,40,0.45312002046999006,0.5468799795300099
58,10,20,40,50,0.4266184429680211,0.5733815570319789
59,10,20,40,60,0.40343604244858655,0.5965639575514134
60,10,20,50,10,0.38551016293494544,0.6144898370650546
61,10,20,50,20,0.4158020574862481,0.5841979425137519
62,10,20,50,30,0.4497170691984415,0.5502829308015584
63,10,20,50,40,0.4443687634211729,0.5556312365788272
64,10,20,50,50,0.420407934727791,0.5795920652722091
65,10,20,50,60,0.3986591416055731,0.6013408583944269
66,10,20,60,10,0.37815619919186955,0.6218438008081304
67,10,20,60,20,0.4057542493307332,0.5942457506692669
68,10,20,60,30,0.43833008987249633,0.5616699101275037
69,10,20,60,40,0.4352167873192719,0.5647832126807282
70,10,20,60,50,0.4137923139081166,0.5862076860918835
71,10,20,60,60,0.3935702424611619,0.6064297575388381
72,10,30,10,10,0.3511731485720979,0.6488268514279021
73,10,30,10,20,0.3771150398629242,0.6228849601370758
74,10,30,10,30,0.4131881187216828,0.5868118812783172
75,10,30,10,40,0.41686483444027794,0.5831351655597221
76,10,30,10,50,0.3995137233238506,0.6004862766761494
77,10,30,10,60,0.3818089056054951,0.6181910943945049
78,10,30,20,10,0.3500265053504482,0.6499734946495518
79,10,30,20,20,0.3752350897888797,0.6247649102111204
80,10,30,20,30,0.4105272988537188,0.5894727011462813
81,10,30,20,40,0.4145710049424228,0.5854289950575772
82,10,30,20,50,0.39773545325223436,0.6022645467477656
83,10,30,20,60,0.38042096828575145,0.6195790317142486
84,10,30,30,10,0.35020271032683953,0.6497972896731605
85,10,30,30,20,0.374337951436562,0.625662048563438
86,10,30,30,30,0.4082956215218023,0.5917043784781977
87,10,30,30,40,0.41249516416980636,0.5875048358301936
88,10,30,30,50,0.3962774043666161,0.6037225956333838
89,10,30,30,60,0.37937951538669623,0.6206204846133038
90,10,30,40,10,0.34977633076086934,0.6502236692391307
91,10,30,40,20,0.3727918040820814,0.6272081959179185
92,10,30,40,30,0.4053171820136441,0.5946828179863559
93,10,30,40,40,0.4097512310046329,0.590248768995367
94,10,30,40,50,0.3943182117501589,0.6056817882498411
95,10,30,40,60,0.3780196652902138,0.6219803347097862
96,10,30,50,10,0.3478064693791846,0.6521935306208154
97,10,30,50,20,0.369516962402421,0.630483037597579
98,10,30,50,30,0.4005065983075063,0.5994934016924938
99,10,30,50,40,0.4052931253496037,0.5947068746503963
100,10,30,50,50,0.3909214117694412,0.6090785882305588
101,10,30,50,60,0.3753309285076709,0.6246690714923291
102,10,30,60,10,0.3460814069996565,0.6539185930003435
103,10,30,60,20,0.3662071014756259,0.6337928985243741
104,10,30,60,30,0.3955365333826766,0.6044634666173234
105,10,30,60,40,0.40061501845864383,0.5993849815413561
106,10,30,60,50,0.3873269971035851,0.6126730028964149
107,10,30,60,60,0.3724960043724469,0.6275039956275531
108,10,40,10,10,0.2931274108156212,0.7068725891843788
109,10,40,10,20,0.3137771935814081,0.6862228064185919
110,10,40,10,30,0.3474227025301561,0.6525772974698438
111,10,40,10,40,0.36003251901799577,0.6399674809820042
112,10,40,10,50,0.3524142594132634,0.6475857405867367
