,Community,Mode,Time Range,Cost,MI
217,Hyde Park,drive,20,4.09375,8277.514667262942
218,Hyde Park,drive,30,6.140625,3905.8774129967555
219,Hyde Park,drive,40,8.1875,1843.0505989550554
220,Hyde Park,drive,50,10.234375000000002,869.6728420112884
221,Hyde Park,drive,60,12.28125,410.36901133414636
222,Hyde Park,bicycle,10,0.2602739726027397,18837.28804949877
223,Hyde Park,bicycle,20,0.2602739726027397,18837.28804949877
224,Hyde Park,bicycle,30,0.2602739726027397,18837.28804949877
225,Hyde Park,bicycle,40,0.2602739726027397,18837.28804949877
226,Hyde Park,bicycle,50,0.5102739726027397,17186.183134269002
227,Hyde Park,bicycle,60,1.0102739726027397,14305.450804938471
228,Hyde Park,walk,10,0.0,991.0
229,Hyde Park,walk,20,0.0,991.0
230,Hyde Park,walk,30,0.0,991.0
231,Hyde Park,walk,40,0.0,991.0
232,Hyde Park,walk,50,0.0,991.0
233,Hyde Park,walk,60,0.0,991.0
234,Hyde Park,transit,10,2.4,6538.64830409875
235,Hyde Park,transit,20,2.4,6538.64830409875
236,Hyde Park,transit,30,2.4,6538.64830409875
237,Hyde Park,transit,40,2.4,6538.64830409875
238,Hyde Park,transit,50,2.4,6538.64830409875
239,Hyde Park,transit,60,2.4,6538.64830409875
240,Jamaica Plain,drive,10,2.046875,21572.366571919116
241,Jamaica Plain,drive,20,4.09375,9673.983983229466
242,Jamaica Plain,drive,30,6.140625,4338.2336284606645
243,Jamaica Plain,drive,40,8.1875,1945.451951102385
244,Jamaica Plain,drive,50,10.234375000000002,872.424958678638
245,Jamaica Plain,drive,60,12.28125,391.2331569505662
246,Jamaica Plain,bicycle,10,0.2602739726027397,30305.487741388064
247,Jamaica Plain,bicycle,20,0.2602739726027397,30305.487741388064
248,Jamaica Plain,bicycle,30,0.2602739726027397,30305.487741388064
249,Jamaica Plain,bicycle,40,0.2602739726027397,30305.487741388064
250,Jamaica Plain,bicycle,50,0.5102739726027397,27477.786506331104
251,Jamaica Plain,bicycle,60,1.0102739726027397,22589.295082875913
252,Jamaica Plain,walk,10,0.0,2344.0
253,Jamaica Plain,walk,20,0.0,2344.0
254,Jamaica Plain,walk,30,0.0,2344.0
255,Jamaica Plain,walk,40,0.0,2344.0
256,Jamaica Plain,walk,50,0.0,2344.0
257,Jamaica Plain,walk,60,0.0,2344.0
258,Jamaica Plain,transit,10,2.4,6239.791508089678
259,Jamaica Plain,transit,20,2.4,6239.791508089678
260,Jamaica Plain,transit,30,2.4,6239.791508089678
261,Jamaica Plain,transit,40,2.4,6239.791508089678
262,Jamaica Plain,transit,50,2.4,6239.791508089678
263,Jamaica Plain,transit,60,2.4,6239.791508089678
264,Longwood,drive,10,2.046875,51462.95404011643
265,Longwood,drive,20,4.09375,48435.17992931851
266,Longwood,drive,30,6.140625,45585.54203780703
267,Longwood,drive,40,8.1875,42903.55989000473
268,Longwood,drive,50,10.234375000000002,40379.3696191788
269,Longwood,drive,60,12.28125,38003.68768984404
270,Longwood,bicycle,10,0.2602739726027397,41094.923155698845
271,Longwood,bicycle,20,0.2602739726027397,41094.923155698845
272,Longwood,bicycle,30,0.2602739726027397,41094.923155698845
273,Longwood,bicycle,40,0.2602739726027397,41094.923155698845
274,Longwood,bicycle,50,0.5102739726027397,40791.70248214213
275,Longwood,bicycle,60,1.0102739726027397,40191.95660750362
276,Longwood,walk,10,0.0,5828.0
277,Longwood,walk,20,0.0,5828.0
278,Longwood,walk,30,0.0,5828.0
279,Longwood,walk,40,0.0,5828.0
280,Longwood,walk,50,0.0,5828.0
281,Longwood,walk,60,0.0,5828.0
282,Longwood,transit,10,2.4,21854.641271528406
283,Longwood,transit,20,2.4,21854.641271528406
284,Longwood,transit,30,2.4,21854.641271528406
285,Longwood,transit,40,2.4,21854.641271528406
286,Longwood,transit,50,2.4,21854.641271528406
287,Longwood,transit,60,2.4,21854.641271528406
