time.drive,time.bicycle,time.walk,time.transit,weighted.gini,MEM
10,40,60,10,0.267311748,0.732688252
10,40,60,20,0.272517731,0.727482269
10,40,60,30,0.284420408,0.715579592
10,40,60,40,0.298432142,0.701567858
10,40,60,50,0.307294787,0.692705213
10,40,60,60,0.310142295,0.689857705
10,50,10,10,0.313001669,0.686998331
10,50,10,20,0.317248555,0.682751445
10,50,10,30,0.326998588,0.673001412
10,50,10,40,0.337713189,0.662286811
10,50,10,50,0.343765745,0.656234255
10,50,10,60,0.345040815,0.654959185
10,50,20,10,0.31141092,0.68858908
10,50,20,20,0.315637195,0.684362805
10,50,20,30,0.325274089,0.674725911
10,50,20,40,0.335931872,0.664068128
10,50,20,50,0.34203078,0.65796922
10,50,20,60,0.343376404,0.656623596
10,50,30,10,0.307719672,0.692280328
10,50,30,20,0.311910297,0.688089703
10,50,30,30,0.321411617,0.678588383
10,50,30,40,0.332026351,0.667973649
10,50,30,50,0.338205856,0.661794144
10,50,30,60,0.339727417,0.660272583
10,50,40,10,0.302116328,0.697883672
10,50,40,20,0.30624539,0.69375461
10,50,40,30,0.315625792,0.684374208
10,50,40,40,0.326257156,0.673742844
10,50,40,50,0.332597541,0.667402459
10,50,40,60,0.334320398,0.665679602
10,50,50,10,0.295880537,0.704119463
10,50,50,20,0.299900875,0.700099125
10,50,50,30,0.309098869,0.690901131
10,50,50,40,0.319611144,0.680388856
10,50,50,50,0.326033326,0.673966674
10,50,50,60,0.32797969,0.67202031
10,50,60,10,0.289085085,0.710914915
10,50,60,20,0.292972363,0.707027637
10,50,60,30,0.301882261,0.698117739
10,50,60,40,0.312202034,0.687797966
10,50,60,50,0.31867367,0.68132633
10,50,60,60,0.32088599,0.67911401
10,60,10,10,0.357076536,0.642923464
10,60,10,20,0.36093195,0.63906805
10,60,10,30,0.369414405,0.630585595
10,60,10,40,0.37785098,0.62214902
10,60,10,50,0.381524991,0.618475009
10,60,10,60,0.380589513,0.619410487
10,60,20,10,0.353944661,0.646055339
10,60,20,20,0.357812666,0.642187334
10,60,20,30,0.366278872,0.633721128
10,60,20,40,0.374818884,0.625181116
10,60,20,50,0.378672942,0.621327058
10,60,20,60,0.377948149,0.622051851
10,60,30,10,0.348140655,0.651859345
10,60,30,20,0.351977879,0.648022121
10,60,30,30,0.360438363,0.639561637
10,60,30,40,0.369105057,0.630894943
10,60,30,50,0.373237154,0.626762846
10,60,30,60,0.372860946,0.627139054
10,60,40,10,0.339935716,0.660064284
10,60,40,20,0.343750444,0.656249556
10,60,40,30,0.352209038,0.647790962
10,60,40,40,0.36109834,0.63890166
10,60,40,50,0.365598265,0.634401735
10,60,40,60,0.365668437,0.634331563
10,60,50,10,0.330737476,0.669262524
10,60,50,20,0.334528254,0.665471746
10,60,50,30,0.342906118,0.657093882
10,60,50,40,0.351891807,0.648108193
10,60,50,50,0.35669655,0.64330345
10,60,50,60,0.357201612,0.642798388
10,60,60,10,0.320974423,0.679025577
10,60,60,20,0.324682441,0.675317559
10,60,60,30,0.332887013,0.667112987
10,60,60,40,0.341920421,0.658079579
10,60,60,50,0.347012176,0.652987824
10,60,60,60,0.347918487,0.652081513
20,10,10,10,0.3767764,0.6232236
