time.drive,time.bicycle,time.walk,time.transit,weighted.gini,MEM
10,40,60,10,0.130846779,0.869153221
10,40,60,20,0.138440953,0.861559047
10,40,60,30,0.149495293,0.850504707
10,40,60,40,0.154920453,0.845079547
10,40,60,50,0.155094575,0.844905425
10,40,60,60,0.153325142,0.846674858
10,50,10,10,0.093795488,0.906204512
10,50,10,20,0.104182388,0.895817612
10,50,10,30,0.119553385,0.880446615
10,50,10,40,0.131653945,0.868346055
10,50,10,50,0.137040518,0.862959482
10,50,10,60,0.137860247,0.862139753
10,50,20,10,0.097398912,0.902601088
10,50,20,20,0.107599376,0.892400624
10,50,20,30,0.122513518,0.877486482
10,50,20,40,0.134002354,0.865997646
10,50,20,50,0.138953181,0.861046819
10,50,20,60,0.139567002,0.860432998
10,50,30,10,0.102412737,0.897587263
10,50,30,20,0.112238812,0.887761188
10,50,30,30,0.12682488,0.87317512
10,50,30,40,0.137738673,0.862261327
10,50,30,50,0.141593705,0.858406295
10,50,30,60,0.14185967,0.85814033
10,50,40,10,0.104966795,0.895033205
10,50,40,20,0.11438316,0.88561684
10,50,40,30,0.128790705,0.871209295
10,50,40,40,0.139050945,0.860949055
10,50,40,50,0.141725488,0.858274512
10,50,40,60,0.141905085,0.858094915
10,50,50,10,0.111766018,0.888233982
10,50,50,20,0.120643273,0.879356727
10,50,50,30,0.13432921,0.86567079
10,50,50,40,0.143153918,0.856846082
10,50,50,50,0.145038615,0.854961385
10,50,50,60,0.14475186,0.85524814
10,50,60,10,0.116274534,0.883725466
10,50,60,20,0.124375469,0.875624531
10,50,60,30,0.137199149,0.862800851
10,50,60,40,0.145110847,0.854889153
10,50,60,50,0.146239954,0.853760046
10,50,60,60,0.14513487,0.85486513
10,60,10,10,0.114836505,0.885163495
10,60,10,20,0.124815859,0.875184141
10,60,10,30,0.139624844,0.860375156
10,60,10,40,0.152426583,0.847573417
10,60,10,50,0.157887994,0.842112006
10,60,10,60,0.158323356,0.841676644
10,60,20,10,0.117050273,0.882949727
10,60,20,20,0.126894019,0.873105981
10,60,20,30,0.141526041,0.858473959
10,60,20,40,0.153761329,0.846238671
10,60,20,50,0.158945877,0.841054123
10,60,20,60,0.159310354,0.840689646
10,60,30,10,0.118795097,0.881204903
10,60,30,20,0.128397749,0.871602251
10,60,30,30,0.142376527,0.857623473
10,60,30,40,0.154325899,0.845674101
10,60,30,50,0.159206855,0.840793145
10,60,30,60,0.159448587,0.840551413
10,60,40,10,0.116628323,0.883371677
10,60,40,20,0.126100636,0.873899364
10,60,40,30,0.140347395,0.859652605
10,60,40,40,0.151640269,0.848359731
10,60,40,50,0.156438514,0.843561486
10,60,40,60,0.156454361,0.843545639
10,60,50,10,0.119783888,0.880216112
10,60,50,20,0.128982897,0.871017103
10,60,50,30,0.142177148,0.857822852
10,60,50,40,0.152238236,0.847761764
10,60,50,50,0.156196358,0.843803642
10,60,50,60,0.156124749,0.843875251
10,60,60,10,0.121666365,0.878333635
10,60,60,20,0.130119787,0.869880213
10,60,60,30,0.14291819,0.85708181
10,60,60,40,0.151386465,0.848613535
10,60,60,50,0.153680616,0.846319384
10,60,60,60,0.153610329,0.846389671
20,10,10,10,0.331999772,0.668000228
20,10,10,20,0.368653127,0.631346873
20,10,10,30,0.38586403,0.61413597
20,10,10,40,0.356204428,0.643795572
