,Community,Mode,Time Range,Cost,MI,Cafe,Fitness,Hospitals,Market,Parks,Pharmacy,Restaurant,Schools,Worship,Stadium,Theater
0,Allerton,drive,10,2.046875,8.15370607873325,0.008348794063079777,0.0018552875695732839,0.0055658627087198514,0.13079777365491652,0.016697588126159554,0.1085343228200371,0.4564007421150278,0.2588126159554731,0.012987012987012988,,
1,Allerton,drive,20,4.09375,6.648898708723572,0.01622798337621215,0.003958044725905403,0.020779734811003366,0.12645952899267762,0.021373441519889173,0.09914902038393034,0.4365723332673659,0.23807639026320998,0.03562240253314863,0.0003958044725905403,0.0013853156540668912
2,Allerton,drive,30,6.140625,2.8483256906008076,0.016314393634975485,0.004982721208711726,0.013983765972836133,0.12802378847544804,0.03278952021216749,0.10246725066302338,0.4135658603230732,0.24881459455115323,0.03568271317206462,0.0012858635377320583,0.0020895282488145946
3,Allerton,drive,40,8.1875,2.4020542196794024,0.029824764999419755,0.00961554402427096,0.015815912067507754,0.11513785042855486,0.03382018932674614,0.10275369286626104,0.4193371906032925,0.233309570782009,0.03448333029393724,0.0009781329266068735,0.004923821681393923
4,Allerton,drive,50,10.234375000000002,0.7913094696337191,0.039212768006443535,0.01264193726307311,0.015837440795636603,0.11348852682909746,0.031639862374477995,0.09723085543191827,0.4182695254020644,0.2282114810502263,0.033846073032576626,0.001146879350043336,0.008474650464442363
5,Allerton,drive,60,12.28125,0.1879270913014158,0.03690093695288301,0.014031847419692043,0.01741154741520288,0.11660926948457974,0.030436539238509343,0.09817804028705004,0.40623096113024354,0.236258345037228,0.03502831380546524,0.0013082709660041944,0.007605928263142031
6,Allerton,bicycle,10,0.5616438356164384,61.912603213221885,0.011299435028248588,0.005215123859191656,0.009126466753585397,0.12385919165580182,0.017383746197305518,0.09908735332464146,0.43720121686223384,0.2633637548891786,0.03302911777488049,,0.000434593654932638
7,Allerton,bicycle,20,0.5616438356164384,246.78939446834906,0.014500654164849542,0.004797208896641954,0.01668120366332316,0.13279546445704316,0.030745747928477975,0.10662887047535978,0.404709986916703,0.2482555604012211,0.03837767117313563,0.0006541648495420845,0.0018534670737025728
8,Allerton,bicycle,30,0.5616438356164384,445.03887750833974,0.015417170495767839,0.005078597339782347,0.012877871825876665,0.1354897218863362,0.03567110036275696,0.10247883917775094,0.3929866989117292,0.2566505441354293,0.039903264812575584,0.0012091898428053206,0.0022370012091898436
9,Allerton,bicycle,40,0.5616438356164384,600.7217641627083,0.016483024276628146,0.005374899220639613,0.012496640687987101,0.13396936307444235,0.03556391650989877,0.1027949475947326,0.3994445937472006,0.25436710561676973,0.03556391650989877,0.0013885156319985666,0.002553077129803816
10,Allerton,bicycle,50,0.8116438356164384,571.8492771919795,0.018051227483468872,0.006460439309873071,0.01299688378809759,0.13247700843657367,0.03503838261001748,0.10568518659268829,0.3903625446530363,0.2582275594740442,0.036102454966937744,0.00125408527779889,0.0033442274074637073
11,Allerton,bicycle,60,1.3116438356164384,456.37376991420984,0.022458298387848286,0.008076289876681266,0.01435094585779517,0.12477867859472554,0.03286428726741838,0.10492964309011275,0.39387444475507094,0.2594352809616997,0.03435529462926723,0.0010561302146429347,0.003820706364737675
12,Allerton,walk,10,0.0,9.478260869565219,0.013761467889908254,,,0.1513761467889908,0.018348623853211007,0.09633027522935778,0.3853211009174311,0.31651376146788984,0.018348623853211007,,
13,Allerton,walk,20,0.0,28.391304347826086,0.007656967840735069,,0.004594180704441042,0.1424196018376723,0.021439509954058196,0.11485451761102602,0.40735068912710565,0.2894333843797856,0.01225114854517611,,
14,Allerton,walk,30,0.0,57.086956521739125,0.00913937547600914,0.0030464584920030465,0.006854531607006854,0.1233815689261234,0.01827875095201828,0.11195734958111196,0.4280274181264281,0.27875095201827876,0.019801980198019802,,0.0007616146230007616
15,Allerton,walk,40,0.0,90.65217391304347,0.011510791366906475,0.0057553956834532375,0.008633093525179856,0.12374100719424462,0.01630695443645084,0.09928057553956836,0.43453237410071943,0.2719424460431655,0.02781774580335732,,0.00047961630695443646
16,Allerton,walk,50,0.0,139.82608695652172,0.013992537313432838,0.004353233830845772,0.012126865671641793,0.11847014925373135,0.019900497512437814,0.09328358208955224,0.4353233830845772,0.26772388059701496,0.033582089552238806,,0.0012437810945273634
17,Allerton,walk,60,0.0,217.69565217391303,0.014979029358897543,0.00439384861194328,0.020970641102456562,0.12762133013780708,0.023167565408428202,0.09706411024565609,0.43099660475334534,0.243858597962852,0.0347513481126423,0.0003994407829039345,0.0017974835230677051
18,Allerton,transit,10,2.9,0.7991172264277642,0.0136986301369863,,,0.136986301369863,0.0182648401826484,0.0958904109589041,0.3744292237442922,0.3424657534246575,0.0182648401826484,,
19,Allerton,transit,20,2.9,4.400618151013167,0.011608623548922056,0.004975124378109453,0.004975124378109453,0.14925373134328357,0.016583747927031506,0.10199004975124377,0.43449419568822545,0.2562189054726368,0.01990049751243781,,
