,time.drive,time.bicycle,time.walk,time.transit,weighted.gini,MEM
0,10,10,10,10,0.3642529793953746,0.6357470206046254
1,10,10,10,20,0.40895726350837097,0.5910427364916291
2,10,10,10,30,0.4713942626285615,0.5286057373714386
3,10,10,10,40,0.5007101751884439,0.49928982481155615
4,10,10,10,50,0.49048016304259895,0.509519836957401
5,10,10,10,60,0.46216285332975954,0.5378371466702405
6,10,10,20,10,0.36364850486745026,0.6363514951325497
7,10,10,20,20,0.39960836460143734,0.6003916353985627
8,10,10,20,30,0.4539887801915945,0.5460112198084055
9,10,10,20,40,0.48398502673708954,0.5160149732629105
10,10,10,20,50,0.4778463558953112,0.5221536441046888
11,10,10,20,60,0.4523882300823677,0.5476117699176323
12,10,10,30,10,0.352233916466888,0.647766083533112
13,10,10,30,20,0.38066211666268407,0.619337883337316
14,10,10,30,30,0.42732486665932856,0.5726751333406714
15,10,10,30,40,0.45819437852887956,0.5418056214711204
16,10,10,30,50,0.45699185864992714,0.5430081413500729
17,10,10,30,60,0.43590502085865424,0.5640949791413458
18,10,10,40,10,0.33508045193957847,0.6649195480604215
19,10,10,40,20,0.35783794164749166,0.6421620583525083
20,10,10,40,30,0.3981060265371762,0.6018939734628238
21,10,10,40,40,0.428992606467294,0.571007393532706
22,10,10,40,50,0.43235064714442456,0.5676493528555755
23,10,10,40,60,0.41551088569612454,0.5844891143038755
24,10,10,50,10,0.320385929961046,0.679614070038954
25,10,10,50,20,0.3388230985217379,0.661176901478262
26,10,10,50,30,0.3727205548059825,0.6272794451940176
27,10,10,50,40,0.40196223366130973,0.5980377663386902
28,10,10,50,50,0.4079912813122539,0.5920087186877461
29,10,10,50,60,0.39445048547246875,0.6055495145275313
30,10,10,60,10,0.30378213891352673,0.6962178610864733
31,10,10,60,20,0.3189623007722665,0.6810376992277335
32,10,10,60,30,0.34794304313960006,0.6520569568604
33,10,10,60,40,0.3751297187951856,0.6248702812048144
34,10,10,60,50,0.38287980041900793,0.6171201995809921
35,10,10,60,60,0.3729617650467043,0.6270382349532957
36,10,20,10,10,0.30820176346405215,0.6917982365359479
37,10,20,10,20,0.327530413659789,0.672469586340211
38,10,20,10,30,0.36396400264629364,0.6360359973537064
39,10,20,10,40,0.39603588473774665,0.6039641152622534
40,10,20,10,50,0.4050260689193414,0.5949739310806585
41,10,20,10,60,0.3954014126236403,0.6045985873763597
42,10,20,20,10,0.31049812658082193,0.689501873419178
43,10,20,20,20,0.3282488584203484,0.6717511415796515
44,10,20,20,30,0.3619846676665923,0.6380153323334077
45,10,20,20,40,0.3923679267768597,0.6076320732231403
46,10,20,20,50,0.4011939613960456,0.5988060386039544
47,10,20,20,60,0.39204224879057425,0.6079577512094257
48,10,20,30,10,0.3088446787114666,0.6911553212885334
49,10,20,30,20,0.3247286747199274,0.6752713252800726
50,10,20,30,30,0.35527245622141745,0.6447275437785825
51,10,20,30,40,0.3837523790850598,0.6162476209149401
52,10,20,30,50,0.3927816870749635,0.6072183129250365
53,10,20,30,60,0.38451453495853954,0.6154854650414605
54,10,20,40,10,0.3046287614279028,0.6953712385720972
55,10,20,40,20,0.31861044634154895,0.6813895536584511
56,10,20,40,30,0.34592952897057777,0.6540704710294223
57,10,20,40,40,0.3723045988916784,0.6276954011083216
58,10,20,40,50,0.3814509768434642,0.6185490231565358
59,10,20,40,60,0.37409269263811673,0.6259073073618833
60,10,20,50,10,0.3006148365689777,0.6993851634310223
61,10,20,50,20,0.31275441226462786,0.6872455877353721
62,10,20,50,30,0.33674650746150353,0.6632534925384965
63,10,20,50,40,0.36076124261117637,0.6392387573888236
64,10,20,50,50,0.3696146478182701,0.63038535218173
65,10,20,50,60,0.3629262270990827,0.6370737729009173
66,10,20,60,10,0.29202932236970136,0.7079706776302986
67,10,20,60,20,0.30265204115491073,0.6973479588450893
68,10,20,60,30,0.32390409623235883,0.6760959037676412
69,10,20,60,40,0.34593847586120224,0.6540615241387977
70,10,20,60,50,0.3549841291896349,0.645015870810365
71,10,20,60,60,0.3497309659001374,0.6502690340998626
72,10,30,10,10,0.2816486841590151,0.7183513158409849
73,10,30,10,20,0.29241090002421616,0.7075890999757839
74,10,30,10,30,0.3154936835929439,0.6845063164070562
75,10,30,10,40,0.3401689382051874,0.6598310617948127
76,10,30,10,50,0.3519832953164169,0.6480167046835831
77,10,30,10,60,0.35120816465251425,0.6487918353474857
78,10,30,20,10,0.2830004676166419,0.7169995323833581
79,10,30,20,20,0.29332386300249463,0.7066761369975054
80,10,30,20,30,0.31542507665422176,0.6845749233457783
