,Community,Mode,Time Range,Cost,MI,Cafe,Fitness,Market,Parks,Pharmacy,Restaurant,Schools,Worship,Hospitals,Stadium,Theater
1000,Lincoln Park,walk,50,0.0,66.65217391304348,0.0704500978473581,0.037834311806914545,0.04892367906066535,0.07827788649706457,0.041095890410958895,0.4931506849315068,0.11741682974559686,0.09654272667971298,0.003913894324853229,0.001304631441617743,0.011089367253750813
1001,Lincoln Park,walk,60,0.0,97.39130434782608,0.078125,0.04553571428571429,0.04285714285714286,0.07946428571428572,0.0375,0.505357142857143,0.10982142857142857,0.08571428571428572,0.0040178571428571425,0.0008928571428571429,0.010714285714285714
1002,Lincoln Park,transit,10,2.25,5.673992055936358,0.06707317073170732,0.024390243902439025,,0.06097560975609756,0.054878048780487805,0.6341463414634146,0.09146341463414635,0.04878048780487805,,0.006097560975609756,0.012195121951219513
1003,Lincoln Park,transit,20,2.25,56.01337279610343,0.07164916615194565,0.04076590487955528,0.035206917850525016,0.0753551575046325,0.04076590487955528,0.5633106856084003,0.08153180975911056,0.07906114885731934,0.001852995676343422,0.0012353304508956147,0.009264978381717111
1004,Lincoln Park,transit,30,2.25,194.0228503029945,0.08487874465049929,0.030670470756062766,0.04172610556348074,0.06776034236804565,0.03958630527817404,0.5463623395149786,0.08826676176890157,0.08594864479315265,0.004814550641940085,0.0007132667617689016,0.009272467902995721
1005,Lincoln Park,transit,40,2.25,295.635744621806,0.07173785839672323,0.023639555295494444,0.050555880631948505,0.09221767115272089,0.03932124049151551,0.4521942656524284,0.1365710942071387,0.1165593914569924,0.007021650087770627,0.0012873025160912816,0.008894090111176128
1006,Lincoln Park,transit,50,2.25,375.17542594252365,0.06086315012910365,0.0217631870158613,0.05007377351530801,0.10106971597196605,0.03624123939505717,0.3784581335300627,0.16903356694946514,0.16599040944300994,0.007746219107340464,0.0011988196237550717,0.007561785319070453
1007,Lincoln Park,transit,60,2.25,442.43299031289115,0.05489521426337191,0.019236784485455113,0.0490303409446356,0.10228339067876134,0.03378167031592117,0.33406318423522047,0.19025649045980605,0.20081326243353143,0.007741632780731936,0.0010165780419142945,0.00688145136065061
1008,Lincoln Square,drive,10,2.09375,3.7998354702080457,0.08370044052863436,0.017621145374449337,0.026431718061674006,0.05286343612334801,0.03964757709251101,0.44933920704845814,0.14537444933920704,0.16740088105726872,0.013215859030837003,,0.004405286343612334
1009,Lincoln Square,drive,20,4.1875,8.030151682653687,0.05698234349919745,0.019261637239165335,0.06982343499197434,0.0850722311396469,0.03852327447833067,0.375601926163724,0.15409309791332268,0.17977528089887648,0.012038523274478335,0.0008025682182985556,0.008025682182985557
1010,Lincoln Square,drive,30,6.28125,6.386766230080292,0.05516705516705516,0.031857031857031856,0.06643356643356643,0.08624708624708624,0.047785547785547784,0.3613053613053613,0.162004662004662,0.17094017094017094,0.009324009324009324,0.002331002331002331,0.006604506604506604
1011,Lincoln Square,drive,40,8.375,7.777087831198468,0.07112148384719323,0.026532367031077263,0.05048519837857758,0.08745854317651396,0.04016705564426975,0.4458911681611596,0.13339884535069405,0.1282397739835401,0.006264586660115466,0.0009826802604102692,0.00945829750644884
1012,Lincoln Square,drive,50,10.468750000000002,4.752281376046467,0.05595542140701183,0.02012228155715502,0.04945437659623867,0.10246884916028169,0.03459484560018574,0.3355777416608621,0.19247736243324817,0.19348347651110592,0.008126306013466448,0.0010835074684621933,0.006655831591982043
1013,Lincoln Square,drive,60,12.5625,2.253613494104501,0.047565190072258866,0.017090794847628023,0.04938737040527803,0.10329877474081055,0.03336475023562676,0.2841344643418159,0.21696512723845426,0.23399308828149543,0.007540056550424128,0.0010681746779767514,0.005592208608231228
1014,Lincoln Square,bicycle,10,0.5452054794520548,20.922533178187543,0.06807131280388978,0.016207455429497565,0.06320907617504051,0.08103727714748783,0.043760129659643425,0.39870340356564016,0.15559157212317665,0.15235008103727712,0.014586709886547809,0.0016207455429497566,0.00486223662884927
1015,Lincoln Square,bicycle,20,0.5452054794520548,74.60222527068491,0.054090909090909085,0.02818181818181818,0.06681818181818182,0.08727272727272727,0.04499999999999999,0.3645454545454545,0.15818181818181817,0.17727272727272725,0.009545454545454544,0.0022727272727272726,0.006818181818181818
1016,Lincoln Square,bicycle,30,0.5452054794520548,144.59267661554566,0.05956848030018761,0.03048780487804878,0.05769230769230769,0.08771106941838648,0.040103189493433396,0.4160412757973733,0.14141651031894933,0.15009380863039398,0.007035647279549718,0.0016416510318949344,0.00820825515947467
1017,Lincoln Square,bicycle,40,0.5452054794520548,206.88553471656755,0.059006720209801675,0.028847729880347485,0.056056384199311596,0.0885100803147025,0.038846090804786106,0.4041960334371415,0.15440091788231436,0.15472873299459106,0.006884117357810195,0.001147352892968366,0.007375840026225209
1018,Lincoln Square,bicycle,50,0.7952054794520548,250.50158541989947,0.06462133107863269,0.02415750694528325,0.05109312718927407,0.08745017514192537,0.03804807343882112,0.4208237709868342,0.15219229375528448,0.14615291701896366,0.007609614687764223,0.0012078753472641625,0.006643314409952894
1019,Lincoln Square,bicycle,60,1.2952054794520547,237.69755505072098,0.06283571500962806,0.022499239890544243,0.050775311644876864,0.09263200567548395,0.03648525387655823,0.39404074186682886,0.16144724840377017,0.16276477146042365,0.008513225904530254,0.0010134792743488397,0.006993006993006994
1020,Lincoln Square,walk,10,0.0,1.2608695652173911,0.13793103448275865,,0.10344827586206898,,0.10344827586206898,0.20689655172413796,0.3103448275862069,0.13793103448275865,,,
1021,Lincoln Square,walk,20,0.0,6.869565217391303,0.10126582278481014,0.025316455696202535,0.037974683544303806,0.06329113924050635,0.0569620253164557,0.41772151898734183,0.1139240506329114,0.16455696202531647,0.018987341772151903,,
1022,Lincoln Square,walk,30,0.0,15.91304347826087,0.07377049180327869,0.0273224043715847,0.04098360655737705,0.07650273224043716,0.02459016393442623,0.41530054644808745,0.14754098360655737,0.15846994535519127,0.02459016393442623,0.00273224043715847,0.00819672131147541
1023,Lincoln Square,walk,40,0.0,29.82608695652174,0.06559766763848397,0.01749271137026239,0.05247813411078717,0.07871720116618075,0.048104956268221574,0.39941690962099125,0.1705539358600583,0.14868804664723034,0.013119533527696792,0.0014577259475218659,0.004373177842565598
